date,"activity 1=not morving, 2=walking, 3=running, 4=biking, 6=skateboarding"
9/03/2020,2
9/03/2020,1
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,3
9/03/2020,3
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,3
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,3
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,3
9/03/2020,2
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,3
9/03/2020,3
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,2
9/03/2020,3
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,1
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,3
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,4
9/03/2020,4
9/03/2020,2
9/03/2020,2
9/03/2020,1
9/03/2020,1
9/03/2020,4
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/03/2020,2
9/11/2020,1
9/11/2020,1
9/11/2020,1
9/11/2020,2
9/11/2020,2
9/11/2020,1
9/11/2020,1
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,1
9/11/2020,1
9/11/2020,1
9/11/2020,1
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/03/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,1
9/11/2020,2
9/11/2020,1
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/11/2020,1
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,1
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,1
9/16/2020,2
9/11/2020,1
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,1
9/11/2020,1
9/16/2020,1
9/11/2020,1
9/16/2020,2
9/11/2020,1
9/16/2020,3
9/11/2020,1
9/16/2020,4
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,1
9/16/2020,1
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,1
9/16/2020,2
9/11/2020,1
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,1
9/16/2020,2
9/11/2020,1
9/16/2020,2
9/11/2020,1
9/16/2020,1
9/11/2020,1
9/16/2020,1
9/11/2020,1
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,3
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,4
9/11/2020,2
9/16/2020,1
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,3
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/16/2020,2
9/11/2020,2
9/11/2020,6
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/11/2020,2
9/22/2020,2
9/22/2020,2
9/22/2020,2
9/22/2020,6
9/22/2020,6
9/22/2020,3
9/22/2020,2
9/22/2020,4
9/22/2020,2
9/22/2020,2
9/22/2020,2
9/22/2020,2
9/22/2020,2
9/22/2020,2
9/22/2020,1
9/22/2020,2
9/22/2020,2
9/22/2020,1
9/22/2020,1
9/22/2020,1
9/22/2020,2
9/22/2020,1
9/22/2020,1
9/22/2020,2
9/22/2020,1
9/22/2020,2
9/22/2020,2
9/22/2020,2
9/22/2020,2
9/22/2020,2
9/22/2020,1
9/22/2020,1
9/22/2020,1
9/22/2020,1
9/22/2020,1
9/22/2020,1
9/22/2020,1
9/22/2020,1
